#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy -129.991 55.282
xy -130.101 55.228
xy -130.231 55.035
xy -130.360 54.908
xy -130.590 54.794
xy -130.649 54.701
xy -133.079 54.265
xy -133.197 53.939
xy -132.993 53.518
xy -132.501 53.027
xy -132.179 52.752
xy -131.023 51.910
xy -127.508 49.811
xy -127.508 18.211
xy -127.508 0.011
xy -127.508 -22.500
xy -131.500 -22.500
xy -131.500 -26.000
xy -127.507 -26.000
xy -127.507 -59.900
xy -127.507 -75.800
xy -127.507 -90.000
xy -142.529 -90.000
xy -142.529 -73.476
xy -142.529 -56.876
xy -142.529 -23.676
xy -136.810 -23.676
xy -134.338 -21.378
xy -134.338 -13.442
xy -142.529 -13.486
ring
xy 173.415 55.033
xy 180.000 58.952
xy 180.000 55.033
xy 173.415 55.033
# Shape:6 (Polygon)  nVertices=588 nParts=2
#   Bounds:-141.003 -90.000
#       to -112.168 90.000
timezone -8.00
xy -112.505 78.616
xy -114.075 78.398
xy -116.999 77.656
